Current — Core identity (all 18 entries),,,,,,,,,,
,,,,,,,,,,
id,kind,conf,classification,adapter,,orchestrator,,source,feeds_taxonomy,
controlm-psgmgr,orchestration,yes,Internal,oracle,,bmc-controlm,,oracle:psgmgr.CM_* objects,"folders, jobs, conditions, dependencies, variables, hosts, runtime_stats",
controlm-xml-export,orchestration,no,Internal,~ (G47 extractor),,bmc-controlm,,Control-M 9.0.21.300 XML DEFTABLE exports under DRYDOCS_DATA_ROOT/controlm-xml/,"folders, jobs, variables",
autosys-export,orchestration,yes,Internal,~,,autosys,,autosys export (TBD),"folders, jobs, conditions, dependencies",
airflow-mwaa,orchestration,yes,Internal,~,,airflow,,MWAA DAG export (TBD),"folders, jobs, conditions, dependencies",
seal-extract,internal,yes,Internal-Confidential,csv,,~,,SEAL extract (internal),"applications, ports, memberships, roles, employees",
catalog-pat,internal,yes,Internal-Confidential,csv,,~,,PAT/Catalog extract: catalog hierarchy + the PAT team report,"lob, product_lines, products, area_products, dev_teams, team_applications",
software-registry,reference,yes,Internal-Public,yaml,,~,,config/taxonomy/software-registry.yaml,"vendors, software_products",
depgraph-snapshot,derived,yes,Internal-Public,json,,~,,knowledge/depgraph-snapshots/drydocs-*.json (one per session ritual),(empty),
bmc-docs,docs,yes,External,markdown,,~,,external/orchestration/bmc-controlm/controlm-*.md (26 converted BMC pages),"documents, chunks",
essential-graphrag,docs,yes,External,pdf,,~,,"Essential-GraphRAG.pdf (gitignored local copy; Manning 2025, 179 pp)","documents, chunks",
design-docs,docs,yes,Internal-Public,markdown,,~,,docs/design/*.md (doc-outline anchors + traceability) + feedback/*-rev<N>.yaml,"design_docs, doc_sections, requirements, components, test_cases, feedback_notes",
rua-inventory,server-inventory,no,Internal-Confidential,~,,bmc-controlm,,rua_*.tar.gz bundles under DRYDOCS_DATA_ROOT/rua/ (collected on exec hosts),"scripts, hosts",
dpl-registry,registry,no,Internal-Confidential,~,,~,,"per-SEAL Swagger JSON exports (pipeline_id.json / dataset_id.json), out-of-tree","pipelines, datasets",
snowflake-data-catalog,registry,no,Internal-Confidential,~,,~,,"full-pull CSV exports of the curated <CATALOG>_DATASETS_V / _DISTRIBUTIONS_V views, out-of-tree","datasets, distributions",
code-repo,code-repo,no,Internal,~,,~,,per-repo object-sweep manifest (repo_objects.tsv); producer fixtures SYNTHETIC,scripts,
oracle-schemas,data-platform,no,Internal-Confidential,oracle,,~,,oracle:<schema> (internal),"schemas, tables, scripts",
snowflake,data-platform,no,Internal-Confidential,~,,~,,snowflake (TBD),"schemas, tables",
stg-app-fact,staging,yes,Internal,oracle,,~,,oracle:DRYDOCS_STG.STG_APP_FACT (Python normalizer over CM_DEF_SETVAR_VW),applications,
,,,,,,,,,,
Target State,,,,,,,,,,
Taxonomy Category,Asset Type,CMDB_CI (SNOW),Layer (View),File/Query/API,Source_Seal_id,Source of Record,ShortName,source URL,Query/Report Source,URN
People & Org,,,Human,,88152,Product Agility Tools,PAT,,,
People & Org,,,Human,,,,,,,
People & Org,,,Human,,,,,,,
People & Org,,,Human,,,,,,,
Product,,,Business,,,,,,,
Geography,,,,,,,,,,
Business Arch,,,Business,,,,,,,
Business Arch,,,Business,,,,,,,
Data Asset,dcat:Dataset,,Business,,,,,,,
Data Asset,dcat:Dataset,,Business,,,,,,,
Data Asset,dcat:Dataset,,Business,,,,,,,
Pipelines,dcat:Dataset,,Business,,,,,,,
Software / Apps,,,Technology,,32010,"Standards,Engineering, and Architecture Library",SEAL,,,
Architecture,,,,,,,,,,
Architecture,,,,,,,,,,
ITSM / Gov,,,Technology,,,,,,,
Infrastructure,data-platform,,Technology,,87674,Verum Tech Infra,V12,,,
Infrastructure,data-platform,,Technology,,,,,,,
,code-repo,,Technology,,,,,,,
,code-repo,,Technology,,,,,,,
,,,Technology,,82507,,,oracle:psgmgr.CM_* objects,,
